i,lid,rc,expansion,time,recall
65, 51.582093972077885, 1.6102657318115234, 1.0152459144592285, 0.00019845962524414062, 0.16
66, 24.00036621652552, 2.1294405460357666, 1.045142650604248, 0.00015268325805664062, 0.71
67, 32.946414723730946, 1.668272852897644, 1.0169920921325684, 0.00016369819641113282, 0.52
68, 34.5253195361815, 1.6091790199279785, 1.0222598314285278, 0.0001728534698486328, 0.49
69, 67.0961781720953, 1.3290156126022339, 1.0096181631088257, 0.000171661376953125, 0.04
70, 59.883101037156955, 1.4517658948898315, 1.0112836360931396, 0.000193023681640625, 0.1
71, 13.770978192151546, 1.9358216524124146, 1.0674751996994019, 0.00014462471008300782, 0.68
72, 60.60964279523784, 1.4190500974655151, 1.0149158239364624, 0.00020842552185058595, 0.27
73, 25.639320822768422, 1.5273077487945557, 1.0230190753936768, 0.00016880035400390625, 0.38
74, 57.97684701806853, 1.3517274856567383, 1.0127172470092773, 0.00018658638000488282, 0.0
75, 29.431787992878146, 1.4242477416992188, 1.0175219774246216, 0.00017986297607421874, 0.0
76, 33.351147181854635, 1.607147455215454, 1.018235683441162, 0.0001797199249267578, 0.33
77, 54.92379495586257, 1.4599038362503052, 1.0142569541931152, 0.00019202232360839843, 0.21
78, 73.29169952432377, 1.2907352447509766, 1.0095163583755493, 0.00014667510986328126, 0.0
79, 55.20887789351577, 1.5951941013336182, 1.0177803039550781, 0.00018777847290039063, 0.24
80, 55.83939491341477, 1.514387607574463, 1.0128930807113647, 0.0001750469207763672, 0.0
81, 22.379588300870207, 1.4757601022720337, 1.0235284566879272, 0.00018901824951171874, 0.52
82, 75.71496586322807, 1.3261570930480957, 1.0090012550354004, 0.00017552375793457032, 0.08
83, 24.03179000299529, 1.7402740716934204, 1.049027681350708, 0.00015769004821777343, 0.58
84, 52.629757087333964, 1.723638892173767, 1.0134360790252686, 0.00018525123596191406, 0.21
85, 27.40441466102438, 1.5369762182235718, 1.0281661748886108, 0.00020375251770019532, 0.38
86, 34.090279895778025, 1.6276664733886719, 1.0172865390777588, 0.0002102375030517578, 0.5
87, 16.135604303704337, 1.6114338636398315, 1.0359476804733276, 0.0001633167266845703, 0.81
88, 28.425796825380637, 1.4794973134994507, 1.0127296447753906, 0.0001819133758544922, 0.48
89, 28.972774908140252, 1.6668809652328491, 1.0180810689926147, 0.00017070770263671875, 0.37
90, 69.77746372063497, 1.3674455881118774, 1.0110543966293335, 0.00015854835510253906, 0.02
91, 27.04194544599277, 1.4951258897781372, 1.025498628616333, 0.00016117095947265625, 0.51
92, 67.21373339567747, 1.5006897449493408, 1.0139256715774536, 0.00018587112426757813, 0.32
93, 26.578003868643304, 1.451781153678894, 1.021559476852417, 0.00015769004821777343, 0.47
94, 71.59210024878325, 1.2581145763397217, 1.0100016593933105, 0.00016088485717773436, 0.0
